id,subtime,score,walltime,scoreQueue,qtdRecursos
Fila Jobs n:,1,Size:,2,Current time:,1187916.0
w0!1658564,1186820.0,48.0,359400,416417.0,20
w0!1658565,1187916.0,0.0,359400,601.0,15
 
Fila Jobs n:,2,Size:,2,Current time:,1187972.0
w0!1658564,1186820.0,48.0,359400,416473.0,20
w0!1658565,1187916.0,0.0,359400,657.0,15
 
Fila Jobs n:,3,Size:,2,Current time:,1194486.0
w0!1658582,1190762.0,48.0,359400,419045.0,28
w0!1658602,1194486.0,48.0,3600,474720.0,1
 
Fila Jobs n:,4,Size:,3,Current time:,1195390.0
w0!1658582,1190762.0,48.0,359400,419949.0,28
w0!1658602,1194486.0,48.0,3600,475624.0,1
w0!1658608,1195390.0,57.0,2700,572480.0,1
 
Fila Jobs n:,5,Size:,4,Current time:,1195930.0
w0!1658582,1190762.0,48.0,359400,420489.0,28
w0!1658602,1194486.0,48.0,3600,476164.0,1
w0!1658608,1195390.0,57.0,2700,573020.0,1
w0!1658609,1195930.0,57.0,1800,612480.0,1
 
Fila Jobs n:,6,Size:,5,Current time:,1203274.0
w0!1658582,1190762.0,48.0,359400,427833.0,28
w0!1658602,1194486.0,48.0,3600,483508.0,1
w0!1658608,1195390.0,57.0,2700,580364.0,1
w0!1658609,1195930.0,57.0,1800,619824.0,1
w0!1658629,1203274.0,0.0,49949,4324.0,8
 
Fila Jobs n:,7,Size:,6,Current time:,1204034.0
w0!1658582,1190762.0,48.0,359400,428593.0,28
w0!1658602,1194486.0,48.0,3600,484268.0,1
w0!1658608,1195390.0,57.0,2700,581124.0,1
w0!1658609,1195930.0,57.0,1800,620584.0,1
w0!1658629,1203274.0,0.0,49949,5084.0,8
w0!1658636,1204034.0,60.0,359400,519001.0,1
 
Fila Jobs n:,8,Size:,7,Current time:,1205001.0
w0!1658582,1190762.0,48.0,359400,429560.0,28
w0!1658602,1194486.0,48.0,3600,485235.0,1
w0!1658608,1195390.0,57.0,2700,582091.0,1
w0!1658609,1195930.0,57.0,1800,621551.0,1
w0!1658629,1203274.0,0.0,49949,6051.0,8
w0!1658636,1204034.0,60.0,359400,519968.0,1
w0!1658644,1205001.0,42.0,359400,363481.0,1
 
Fila Jobs n:,9,Size:,8,Current time:,1207846.0
w0!1658582,1190762.0,48.0,359400,432405.0,28
w0!1658602,1194486.0,48.0,3600,488080.0,1
w0!1658608,1195390.0,57.0,2700,584936.0,1
w0!1658609,1195930.0,57.0,1800,624396.0,1
w0!1658629,1203274.0,0.0,49949,8896.0,8
w0!1658636,1204034.0,60.0,359400,522813.0,1
w0!1658644,1205001.0,42.0,359400,366326.0,1
w0!1658661,1207846.0,39.0,1200,516960.0,20
 
Fila Jobs n:,10,Size:,9,Current time:,1210907.0
w0!1658582,1190762.0,48.0,359400,435466.0,28
w0!1658602,1194486.0,48.0,3600,491141.0,1
w0!1658608,1195390.0,57.0,2700,587997.0,1
w0!1658609,1195930.0,57.0,1800,627457.0,1
w0!1658629,1203274.0,0.0,49949,11957.0,8
w0!1658636,1204034.0,60.0,359400,525874.0,1
w0!1658644,1205001.0,42.0,359400,369387.0,1
w0!1658661,1207846.0,39.0,1200,520021.0,20
w0!1658669,1210907.0,49.0,359400,423961.0,1
 
Fila Jobs n:,11,Size:,10,Current time:,1214999.0
w0!1658582,1190762.0,48.0,359400,439558.0,28
w0!1658602,1194486.0,48.0,3600,495233.0,1
w0!1658608,1195390.0,57.0,2700,592089.0,1
w0!1658609,1195930.0,57.0,1800,631549.0,1
w0!1658629,1203274.0,0.0,49949,16049.0,8
w0!1658636,1204034.0,60.0,359400,529966.0,1
w0!1658644,1205001.0,42.0,359400,373479.0,1
w0!1658661,1207846.0,39.0,1200,524113.0,20
w0!1658669,1210907.0,49.0,359400,428053.0,1
w0!1658687,1214999.0,0.0,50400,4286.0,1
 
Fila Jobs n:,12,Size:,10,Current time:,1220605.9
w0!1658582,1190762.0,48.0,359400,445165.0,28
w0!1658602,1194486.0,48.0,3600,500840.0,1
w0!1658608,1195390.0,57.0,2700,597696.0,1
w0!1658609,1195930.0,57.0,1800,637156.0,1
w0!1658629,1203274.0,0.0,49949,21656.0,8
w0!1658636,1204034.0,60.0,359400,535573.0,1
w0!1658644,1205001.0,42.0,359400,379086.0,1
w0!1658661,1207846.0,39.0,1200,529720.0,20
w0!1658669,1210907.0,49.0,359400,433660.0,1
w0!1658687,1214999.0,0.0,50400,9893.0,1
 
Fila Jobs n:,13,Size:,5,Current time:,1220630.8
w0!1658636,1204034.0,60.0,359400,535598.0,1
w0!1658644,1205001.0,42.0,359400,379111.0,1
w0!1658661,1207846.0,39.0,1200,529745.0,20
w0!1658669,1210907.0,49.0,359400,433685.0,1
w0!1658687,1214999.0,0.0,50400,9918.0,1
 
Fila Jobs n:,14,Size:,3,Current time:,1221051.0
w0!1658661,1207846.0,39.0,1200,530165.0,20
w0!1658669,1210907.0,49.0,359400,434105.0,1
w0!1658687,1214999.0,0.0,50400,10338.0,1
 
Fila Jobs n:,15,Size:,3,Current time:,1221919.8
w0!1658661,1207846.0,39.0,1200,531034.0,20
w0!1658669,1210907.0,49.0,359400,434974.0,1
w0!1658687,1214999.0,0.0,50400,11207.0,1
 
Fila Jobs n:,16,Size:,3,Current time:,1222405.9
w0!1658661,1207846.0,39.0,1200,531520.0,20
w0!1658669,1210907.0,49.0,359400,435460.0,1
w0!1658687,1214999.0,0.0,50400,11693.0,1
 
Fila Jobs n:,17,Size:,3,Current time:,1223770.5
w0!1658661,1207846.0,39.0,1200,532884.0,20
w0!1658669,1210907.0,49.0,359400,436825.0,1
w0!1658687,1214999.0,0.0,50400,13057.0,1
 
Fila Jobs n:,18,Size:,3,Current time:,1224205.9
w0!1658661,1207846.0,39.0,1200,533320.0,20
w0!1658669,1210907.0,49.0,359400,437260.0,1
w0!1658687,1214999.0,0.0,50400,13493.0,1
 
Fila Jobs n:,19,Size:,3,Current time:,1224757.1
w0!1658661,1207846.0,39.0,1200,533871.0,20
w0!1658669,1210907.0,49.0,359400,437811.0,1
w0!1658687,1214999.0,0.0,50400,14044.0,1
 
Fila Jobs n:,20,Size:,2,Current time:,1367391.0
w0!1659229,1367016.0,0.0,359400,976.0,20
w0!1659230,1367391.0,0.0,359400,601.0,16
 
Fila Jobs n:,21,Size:,2,Current time:,1367436.4
w0!1659229,1367016.0,0.0,359400,1021.0,20
w0!1659230,1367391.0,0.0,359400,646.0,16
 
Fila Jobs n:,22,Size:,2,Current time:,2334016.0
w0!1661277,2333965.0,0.0,1200,180051.0,20
w0!1661278,2334016.0,0.0,1200,180000.0,20
 
Fila Jobs n:,23,Size:,3,Current time:,2335873.0
w0!1661277,2333965.0,0.0,1200,181908.0,20
w0!1661278,2334016.0,0.0,1200,181857.0,20
w0!1661280,2335873.0,0.0,1200,180000.0,1
 
Fila Jobs n:,24,Size:,4,Current time:,2336308.0
w0!1661277,2333965.0,0.0,1200,182343.0,20
w0!1661278,2334016.0,0.0,1200,182292.0,20
w0!1661280,2335873.0,0.0,1200,180435.0,1
w0!1661282,2336308.0,0.0,3600,60000.0,1
 
Fila Jobs n:,25,Size:,4,Current time:,2337026.8
w0!1661277,2333965.0,0.0,1200,183062.0,20
w0!1661278,2334016.0,0.0,1200,183011.0,20
w0!1661280,2335873.0,0.0,1200,181154.0,1
w0!1661282,2336308.0,0.0,3600,60719.0,1
 
Fila Jobs n:,26,Size:,3,Current time:,2337075.5
w0!1661278,2334016.0,0.0,1200,183060.0,20
w0!1661280,2335873.0,0.0,1200,181202.0,1
w0!1661282,2336308.0,0.0,3600,60768.0,1
 
Fila Jobs n:,27,Size:,2,Current time:,2927261.0
w0!1662267,2926348.0,0.0,359400,1514.0,20
w0!1662269,2927261.0,57.0,359400,493081.0,20
 
Fila Jobs n:,28,Size:,3,Current time:,2929708.0
w0!1662267,2926348.0,0.0,359400,3961.0,20
w0!1662269,2927261.0,57.0,359400,495528.0,20
w0!1662272,2929708.0,60.0,359400,519001.0,20
 
Fila Jobs n:,29,Size:,4,Current time:,2932187.0
w0!1662267,2926348.0,0.0,359400,6440.0,20
w0!1662269,2927261.0,57.0,359400,498007.0,20
w0!1662272,2929708.0,60.0,359400,521480.0,20
w0!1662277,2932187.0,0.0,43200,5000.0,20
 
Fila Jobs n:,30,Size:,5,Current time:,2933615.0
w0!1662267,2926348.0,0.0,359400,7868.0,20
w0!1662269,2927261.0,57.0,359400,499435.0,20
w0!1662272,2929708.0,60.0,359400,522908.0,20
w0!1662277,2932187.0,0.0,43200,6428.0,20
w0!1662285,2933615.0,0.0,46800,4615.0,1
 
Fila Jobs n:,31,Size:,5,Current time:,2950202.2
w0!1662267,2926348.0,0.0,359400,24455.0,20
w0!1662269,2927261.0,57.0,359400,516022.0,20
w0!1662272,2929708.0,60.0,359400,539495.0,20
w0!1662277,2932187.0,0.0,43200,23015.0,20
w0!1662285,2933615.0,0.0,46800,21203.0,1
 
